[1.0886743  2.50330698]
[1.08871326 2.50333003]
[1.08874831 2.50335087]
[1.08877987 2.50336958]
[1.08880824 2.50338636]
[1.08883382 2.50340158]
[1.08885687 2.50341517]
[1.08887755 2.50342744]
[1.08889619 2.50343847]
[1.08891297 2.50344836]
[1.08892809 2.50345727]
[1.08889077 2.50343812]
[1.08885717 2.50342088]
[1.08882702 2.50340533]
[1.08879988 2.50339135]
[1.08877537 2.50337868]
[1.08875337 2.50336731]
[1.08873363 2.5033571 ]
[1.08871584 2.50334797]
[1.08869983 2.50333965]
[1.08868537 2.50333214]
[1.08867238 2.50332542]
[1.08866075 2.50331941]
[1.08865018 2.50331393]
[1.08864066 2.50330891]
[1.08863212 2.50330435]
[1.0886245  2.50330027]
[1.08861761 2.50329653]
[1.08861146 2.50329318]
[1.08860586 2.50329026]
[1.08860071 2.50328767]
[1.08859615 2.50328537]
[1.08859188 2.50328324]
[1.08858802 2.50328137]
[1.08863047 2.50330633]
[1.08866873 2.50332879]
[1.08870315 2.50334904]
[1.08873413 2.50336723]
[1.08876201 2.50338355]
[1.08878717 2.50339835]
[1.08880978 2.50341152]
[1.08883005 2.50342337]
[1.08884836 2.50343404]
[1.08886491 2.50344365]
[1.08887979 2.50345228]
[1.08885108 2.50344115]
[1.08882522 2.50343118]
[1.08880199 2.50342217]
[1.08878103 2.50341406]
[1.0887622 2.5034067]
[1.08874532 2.50340001]
[1.08873012 2.50339402]
[1.08871636 2.50338871]
[1.08870396 2.5033838 ]
[1.08869286 2.50337943]
[1.08868294 2.5033756 ]
[1.08867396 2.50337206]
[1.08866579 2.50336886]
[1.08865842 2.5033659 ]
[1.0886519  2.50336322]
[1.088646  2.5033608]
[1.08864073 2.50335862]
[1.08863595 2.50335667]
[1.08863162 2.50335494]
[1.08862764 2.50335344]
[1.08862408 2.50335207]
[1.08862079 2.50335087]
[1.08861783 2.5033498 ]
[1.08866107 2.50337545]
[1.08870003 2.50339852]
[1.08873508 2.50341936]
[1.08876661 2.50343806]
[1.08879497 2.50345486]
[1.08882055 2.50347005]
[1.08884358 2.50348359]
[1.08886421 2.50349581]
[1.08888287 2.50350683]
[1.08889962 2.50351676]
[1.0889147  2.50352568]
[1.08892821 2.50353367]
[1.0889404  2.50354084]
[1.08895133 2.50354735]
[1.08896128 2.50355318]
[1.08892649 2.50354314]
[1.08889521 2.50353409]
[1.08886707 2.50352601]
[1.08884169 2.50351865]
[1.08881889 2.50351202]
[1.08879837 2.50350595]
[1.08877991 2.50350053]
[1.08876332 2.50349561]
[1.0887484  2.50349122]
[1.0887349  2.50348722]
[1.08872284 2.50348357]
[1.08871193 2.50348035]
[1.08870216 2.50347731]
[1.08869329 2.50347461]
[1.08868534 2.50347222]
[1.0886782  2.50346996]
[1.08870213 2.50349697]
[1.08872366 2.50352118]
[1.0887431 2.503543 ]
[1.0887606  2.50356265]
[1.08877644 2.50358037]
[1.08879065 2.50359646]
[1.08880328 2.50361085]
[1.08881472 2.50362376]
[1.08882501 2.50363541]
[1.0888342  2.50364589]
[1.08884242 2.50365537]
[1.08884988 2.50366381]
[1.08885658 2.50367151]
[1.08886259 2.50367846]
[1.08886799 2.5036847 ]
[1.08887287 2.50369034]
[1.08887725 2.50369541]
[1.08888115 2.50370005]
[1.08888461 2.50370416]
[1.08888774 2.5037079 ]
[1.08889055 2.50371131]
[1.08889311 2.50371442]
[1.08889541 2.50371714]
[1.08889747 2.50371959]
[1.08889933 2.50372184]
[1.08890097 2.50372388]
[1.08890246 2.50372568]
[1.08890376 2.50372726]
[1.08890498 2.50372869]
[1.08890603 2.50372997]
[1.08890698 2.50373112]
[1.08890786 2.50373221]
[1.08890866 2.5037332 ]
[1.08890938 2.50373406]
[1.08891004 2.50373487]
[1.08891062 2.50373561]
[1.08891115 2.50373629]
[1.08891157 2.50373686]
[1.08891193 2.50373737]
[1.08891227 2.50373784]
[1.08891258 2.50373831]
[1.08891285 2.50373871]
[1.08891311 2.50373909]
[1.08891336 2.50373945]
[1.08891357 2.50373976]
[1.0889528  2.50376483]
[1.08898816 2.50378745]
[1.08901992 2.50380773]
[1.08904849 2.503826  ]
[1.08907425 2.50384251]
[1.08909736 2.50385739]
[1.08911819 2.50387067]
[1.08913693 2.50388276]
[1.08915371 2.50389368]
[1.08916884 2.50390349]
[1.08918249 2.50391224]
[1.08919472 2.50392014]
[1.0892057  2.50392725]
[1.08921559 2.50393364]
[1.08922449 2.50393944]
[1.08923244 2.50394458]
[1.08923963 2.50394918]
[1.08924604 2.50395339]
[1.08925185 2.5039572 ]
[1.08925709 2.50396061]
[1.08926179 2.50396366]
[1.08926597 2.50396649]
[1.0892697  2.50396907]
[1.0892731  2.50397128]
[1.08927613 2.50397331]
[1.08927886 2.50397518]
[1.0892813  2.50397687]
[1.08928349 2.50397844]
[1.0892855 2.5039798]
[1.08928731 2.50398098]
[1.08928887 2.50398206]
[1.08929026 2.50398304]
[1.08929152 2.50398391]
[1.08929263 2.50398466]
[1.08929364 2.50398532]
[1.08923971 2.50397925]
[1.08919131 2.50397383]
[1.0891477  2.50396896]
[1.0891084  2.50396456]
[1.08907306 2.5039606 ]
[1.08904126 2.50395704]
[1.08901265 2.50395381]
[1.08898683 2.50395089]
[1.08896361 2.50394829]
[1.08894272 2.50394599]
[1.08892384 2.50394394]
[1.08890681 2.50394204]
[1.08889152 2.50394039]
[1.08887772 2.50393893]
[1.08886535 2.50393753]
[1.08885413 2.50393634]
[1.08884409 2.50393528]
[1.08883505 2.5039343 ]
[1.0888269  2.50393339]
[1.08881955 2.50393261]
[1.08881292 2.50393186]
[1.08880702 2.50393123]
[1.08880173 2.50393062]
[1.08879695 2.50393007]
[1.0887926  2.50392957]
[1.08878871 2.50392917]
[1.08878522 2.5039288 ]
[1.0887821  2.50392849]
[1.08877927 2.50392814]
[1.08877674 2.50392784]
[1.08877441 2.50392753]
[1.08877233 2.50392732]
[1.08877051 2.50392715]
[1.0887689  2.50392701]
[1.08876742 2.50392684]
[1.08876607 2.5039267 ]
[1.08876487 2.50392659]
[1.08876377 2.50392645]
[1.08876281 2.50392636]
[1.08876195 2.50392623]
[1.08876115 2.50392613]
[1.08870664 2.50387227]
[1.08865754 2.50382381]
[1.08861336 2.50378031]
[1.08857365 2.50374107]
[1.08853783 2.5037058 ]
[1.08850554 2.50367406]
[1.08847653 2.50364544]
[1.08845043 2.5036197 ]
[1.0884269  2.50359663]
[1.08840569 2.50357589]
[1.08838663 2.50355726]
[1.08836943 2.50354048]
[1.08835397 2.50352522]
[1.08834006 2.50351161]
[1.08832753 2.50349926]
[1.08831619 2.50348827]
[1.08830598 2.50347835]
[1.08829681 2.50346937]
[1.08828846 2.50346135]
[1.08828103 2.50345428]
[1.08827428 2.50344779]
